Abbreviation,Name,Year,Price,Adjusted Price
NSW,Nintendo Switch,2017,299.0,285.42669960933233
TF1,Fuze Tomahawk F1,2016,140.0,135.8816309510293
APTV,Apple TV,2015,149.0,146.46099561614952
N3DS,New Nintendo 3DS,2014,199.99,196.8174185717952
FIRE,Amazon Fire TV,2014,99.0,97.42949366772199
XONE,Xbox One,2013,499.0,499.0
PS4,PlayStation 4,2013,399.0,399.0
OUYA,Ouya,2013,99.0,99.0
WiiU,Wii U,2012,299.0,303.3795649634687
VITA,PlayStation Vita,2012,249.0,252.64719624048064
3DS,Nintendo 3DS,2011,249.0,257.8850551077479
IPAD,iPad,2010,499.0,533.0316980229383
ZBO,Zeebo,2009,280.0,303.99085590358146
DIDJ,Leapfrog Didj,2008,90.0,97.3983208229338
IPHN,iPhone,2007,599.0,672.9699866968365
Wii,Wii,2006,249.0,287.77912225575716
PS3,PlayStation 3,2006,599.0,692.2879286393515
HSCN,HyperScan,2006,70.0,80.90176127671887
X360,Xbox 360,2005,399.0,475.998383834073
GIZ,Gizmondo,2005,229.0,273.19205488221235
GWAV,Game Wave,2005,99.0,118.10486215431887
VSML,V.Smile,2005,90.0,107.36805650392624
PSP,PlayStation Portable,2005,249.0,297.05162299419595
DS,Nintendo DS,2004,149.0,183.73667254841413
XAVX,XaviXPORT,2004,79.0,97.41743041157527
LEAP,Leapster,2003,80.0,101.2821376811594
ZOD,Zodiac,2003,299.0,378.5419895833333
NGE,N-Gage,2003,299.0,378.5419895833333
XBOX,Xbox,2001,299.0,393.4199637561779
GP32,GamePark 32,2001,160.0,210.52573311367377
IPOD,iPod,2001,399.0,524.998546952224
GCN,GameCube,2001,199.0,261.8413805601318
GBA,Game Boy Advance,2001,100.0,131.57858319604614
WSC,WonderSwan Color,2000,59.0,79.81795141073414
PS2,PlayStation 2,2000,299.0,404.50114358999167
64DD,Nintendo 64DD,1999,300.0,419.5178089044522
NGPC,Neo Geo Pocket Color,1999,70.0,97.88748874437219
DC,Dreamcast,1998,199.0,284.38321813813195
GBC,Game Boy Color,1998,70.0,100.03429783753384
GCOM,Game.Com,1997,70.0,101.58183564346155
